reference_number,watch_url,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_url,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,caliber,power_reserve,frequency,jewels,features,description,short_description,hash_watch_url
720.066FE,https://www.alange-soehne.com/us-en/timepieces/lange-1/lange-1-tourbillon-perpetual-calendar/lange-1-tourbillon-perpetual-calendar-in-18-carat-white-gold-720-066,,A. Lange & Söhne,,Lange 1,Lange 1 Tourbillon Perpetual Calendar 25Th Anniversary,in 18-carat white gold,25th Anniversary,Dress,USD,,https://img.alange-soehne.com/product-slideshow-product-2/d8f5507db7cdf4cf5a0cfb5a132bf40f46aadaff.jpg,Germany,Round,['White Gold'],,Transparent,41.9 mm,22 mm,,12.2 mm,,,Sapphire,3 ATM,,"Silver, White",,"['Leather', 'Alligator']",['Blue'],,Automatic,L082.1,50 hours,,,"['Outsize date', 'calendar function', 'moon-phase display', 'tourbillon', 'day-of-week display', 'day/night indicator']","The lange 1 tourbillon perpetual calendar is the most complex member of the lange 1 family. It takes a glance through the sapphire-crystal caseback to reveal its tourbillon. The model version in white gold features an argente-coloured dial crafted from solid silver. Limited to 25 pieces, this model of the 25th anniversary edition is available exclusively in lange boutiques.",,7bdc15af10223319c6b63d87e4ba32d2
760.026F,https://www.alange-soehne.com/us-en/timepieces/richard-lange/richard-lange-tourbillon-pour-le-merite/richard-lange-tourbillon-pour-le-merite-in-18-carat-white-gold-760-026,,A. Lange & Söhne,,Richard Lange,"Richard Lange Tourbillon ""Pour Le Merite""",in 18-carat white gold,Pour le Merite,Dress,USD,164450.0,https://img.alange-soehne.com/product-slideshow-product-2/3166eafff2f4f5641b23a858fb3efe3ca3af0cf5.jpg,Germany,Round,['White Gold'],,Transparent,41.9 mm,22 mm,,12.2 mm,,,Sapphire,3 ATM,,"Silver, White",Roman numerals,"['Leather', 'Alligator']",['Black'],,Manual winding,L072.1,36 hours,,,"['Tourbillon', 'Fusee-and-chain transmission']","With a fusee-and-chain transmission and a one-minute tourbillon, this watch incorporates two of the most effective complications that increase rate accuracy. The model version in white gold features an argente-coloured dial crafted from solid silver. This model is available exclusively in lange boutiques.",,11a28b7683983a8c109fe4e495f3ed18
191.032,https://www.alange-soehne.com/us-en/timepieces/lange-1/lange-1/lange-1-in-18-carat-pink-gold-191-032,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,,Lange 1,Lange 1,in 18-carat pink gold,,Dress,USD,44700.0,https://img.alange-soehne.com/product-slideshow-product-2/c3864cd295bb2700980c93b90dbb31066b875457.jpg,Germany,Round,['Rose Gold'],,Transparent,38.5 mm,20 mm,,9.8 mm,Rose Gold,['Rose Gold'],Sapphire,3 ATM,,"Silver, White",Roman numerals,"['Leather', 'Alligator']",['Brown'],['Buckle'],Manual winding,L121.1,72 hours,21600 A/h,43.0,"['Outsize date', 'power-reserve indicator']","It is the classic in the lange collection. With its inimitable dial design and its outsize date, the lange 1 inspired the entire watch industry with fresh impetus. The model version in pink gold features an argente-coloured dial crafted from solid silver.",,be84f6ce567aa2fab6681727fb395ba2
182.086,https://www.alange-soehne.com/us-en/timepieces/lange-1/little-lange-1-moon-phase/little-lange-1-moon-phase-in-18-carat-white-gold-182-086,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,2021.0,Lange 1,Little Lange 1 Moon Phase,in 18-carat white gold,,Dress,USD,61250.0,https://img.alange-soehne.com/product-slideshow-product-2/441402f2f63f98d52dba4588370eb71f50b16487.jpg,Germany,Round,['White Gold'],,Transparent,36.8 mm,19 mm,,10 mm,White Gold,['Silver'],Sapphire,3 ATM,,"Blue, Silver, Blue, Silver",Roman numerals,"['Leather', 'Alligator']",['Blue'],['Buckle'],Manual winding,L121.2,72 hours,,44.0,"['Outsize date', 'moon-phase display', 'power-reserve indicator']","Thanks to its dial decor, the little lange 1 moon phase is a design masterpiece and thanks to its manufacture movement also a mechanical highlight of the collection. The model version in white gold features a dial made of silver, faced with dark-blue gold flux.",,f2a28b7a9543550f9a8bc4eac447d333
136.029,https://www.alange-soehne.com/us-en/timepieces/lange-1/lange-1-time-zone/lange-1-time-zone-in-18-carat-white-gold-136-029,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,,Lange 1,Lange 1 Time Zone,in 18-carat white gold,,Dress,USD,49950.0,https://img.alange-soehne.com/product-slideshow-product-2/d089309968b6e4ae6822c6c747f873d91dc9e699.jpg,Germany,Round,['White Gold'],,Transparent,41.9 mm,22 mm,,10.9 mm,White Gold,['Silver'],Sapphire,3 ATM,,Black,Roman numerals,"['Leather', 'Alligator']",['Brown'],['Buckle'],Manual winding,L141.1,72 hours,,38.0,"['Outsize date', 'day/night indicator', 'time-zone function', 'power-reserve indicator']",The lange 1 time zone is the perfect companion for frequent travellers and cosmopolites. Its dial indicates home time and the current time in a second time zone at a single glance. The model version in white gold features a black dial crafted from solid silver.,,4177599947d906a783a5eb33ee105c6a
191.025,https://www.alange-soehne.com/us-en/timepieces/lange-1/lange-1/lange-1-in-950-platinum-191-025,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,,Lange 1,Lange 1,in 950 platinum,,Dress,USD,48053.5,https://img.alange-soehne.com/product-slideshow-product-2/911c992415f69d28d001dbc5fbbbfa4496948293.jpg,Germany,Round,['Platinum'],,Transparent,38.5 mm,20 mm,,9.8 mm,,,Sapphire,3 ATM,,Silver,,"['Leather', 'Alligator']",['Black'],['Buckle'],Manual winding,L121.1,72 hours,,,"['Outsize date', 'power-reserve indicator']","It is the classic in the lange collection. With its inimitable dial design and its outsize date, the lange 1 inspired the entire watch industry with fresh impetus. The model version in platinum features a rhodie-coloured dial crafted from solid silver.",,7114176e5dff376ae51f99ae6b1d8d55
425.025,https://www.alange-soehne.com/us-en/timepieces/1815/1815-rattrapante/1815-rattrapante-in-950-platinum-425-025,,A. Lange & Söhne,2022.0,1815,1815 Rattrapante,in 950 platinum,,Dress,USD,,https://img.alange-soehne.com/product-slideshow-product-2/e24a30841e466ec74a3e3ccc532e749e4eda61e8.jpg,Germany,Round,['Platinum'],,Transparent,41.2 mm,20 mm,,12.6 mm,,,Sapphire,3 ATM,,"Silver, White",Arabic numerals,"['Leather', 'Alligator']",['Black'],,Manual winding,L101.2,58 hours,,,['Chronograph'],"The 1815 rattrapante is a. Lange & sohnes first pure split-seconds chronograph. It is based on classic design and construction concepts. The model version in platinum features an argente-coloured dial crafted from solid silver. Limited to 200 pieces, this model is available exclusively in lange boutiques.",,c2056c5653d1c18188f33fba6dad0dc6
720.038FE,https://www.alange-soehne.com/us-en/timepieces/lange-1/lange-1-tourbillon-perpetual-calendar/lange-1-tourbillon-perpetual-calendar-in-18-carat-white-gold-720-038,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,,Lange 1,Lange 1 Tourbillon Perpetual Calendar,in 18-carat white gold,,Dress,USD,,https://img.alange-soehne.com/product-slideshow-product-2/77a83c095a55abe5ba092ffcd125e7a514838c5b.jpg,Germany,Round,['White Gold'],,Transparent,41.9 mm,22 mm,,12.2 mm,White Gold,['Silver'],Sapphire,3 ATM,,Gray,No numerals,"['Leather', 'Alligator']",['Black'],['Buckle'],Automatic,L082.1,50 hours,21600 A/h,76.0,"['Outsize date', 'calendar function', 'moon-phase display', 'tourbillon', 'day-of-week display', 'day/night indicator']",The lange 1 tourbillon perpetual calendar is the most complex member of the lange 1 family. It takes a glance through the sapphire-crystal caseback to reveal its tourbillon. The model version in white gold features a grey dial crafted from solid silver.,,254489541ca7dd12e2b4c82b679795a7
136.032,https://www.alange-soehne.com/us-en/timepieces/lange-1/lange-1-time-zone/lange-1-time-zone-in-18-carat-pink-gold-136-032,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,,Lange 1,Lange 1 Time Zone,in 18-carat pink gold,,Dress,USD,63000.0,https://img.alange-soehne.com/product-slideshow-product-2/ea3e8c3ce8520272da2401d51f6acfb09517539b.jpg,Germany,Round,['Rose Gold'],,Transparent,41.9 mm,22 mm,,10.9 mm,Rose Gold,['Rose Gold'],Sapphire,3 ATM,,"Silver, White",Roman numerals,"['Leather', 'Alligator']",['Brown'],['Buckle'],Manual winding,L141.1,72 hours,,38.0,"['Outsize date', 'day/night indicator', 'time-zone function', 'power-reserve indicator']",The lange 1 time zone is the perfect companion for frequent travellers and cosmopolites. Its dial indicates home time and the current time in a second time zone at a single glance. The model version in pink gold features an argente-coloured dial crafted from solid silver.,,28652ff2945a117208ca6fddecda4079
181.038,https://www.alange-soehne.com/us-en/timepieces/lange-1/little-lange-1/little-lange-1-in-18-carat-white-gold-181-038,,A. Lange & Söhne,2018.0,Lange 1,Little Lange 1,in 18-carat white gold,,Dress,USD,,https://img.alange-soehne.com/product-slideshow-product-2/fe8335c4c64aa0ed9410443793c2c818db8be04b.jpg,Germany,Round,['White Gold'],,Transparent,36.8 mm,19 mm,,9.5 mm,,,Sapphire,3 ATM,,Gray,Roman numerals,"['Leather', 'Alligator']",['Gray'],,Manual winding,L121.1,72 hours,,,"['Outsize date', 'power-reserve indicator']","Compact but impressive. Conceived for slender wrists, the little lange 1 shares all the advantages of the classic lange 1 in terms of technology and design. The model version in white gold features a grey, guilloched dial made of gold.",,3513c26d35b9268e5168f2b7c3f7ed39
142.055,https://www.alange-soehne.com/us-en/timepieces/zeitwerk/zeitwerk-honeygold-lumen/zeitwerk-honeygold-lumen-in-18-carat-honey-gold-142-055,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,2021.0,Zeitwerk,Zeitwerk Honeygold Lumen,in 18-carat HONEYGOLD,Lumen,"Digital, Dress",USD,299500.0,https://img.alange-soehne.com/product-slideshow-product-2/83499aad4edb930da67c97b39a890b8d44544caa.jpg,Germany,Round,['Gold'],,Transparent,41.9 mm,20 mm,,12.6 mm,,,Sapphire,3 ATM,,Black,Arabic numerals,"['Leather', 'Alligator']",['Brown'],,Manual winding,L043.9,72 hours,,,"['Constant-force escapement', 'power-reserve indicator', 'constant-force escapement']","The zeitwerk honeygold lumen is an incomparable horological composition that combines three exceptional features: a jumping numerals display, luminous numerals and a case made of honeygold. The model version in honeygold features a semi-transparent dial made of sapphire crystal. Limited to 200 pieces, this model is available exclusively in lange boutiques.",,03ca5a8bb208977a548d41367de0fba8
191.021,https://www.alange-soehne.com/us-en/timepieces/lange-1/lange-1/lange-1-in-18-carat-yellow-gold-191-021,"Men's Watches, Women's Watches, Unisex Watches",A. Lange & Söhne,,Lange 1,Lange 1,in 18-carat yellow gold,,Dress,USD,31950.0,https://img.alange-soehne.com/product-slideshow-product-2/53dd7e3727c54600b820e604b6591e83e9571669.jpg,Germany,Round,['Gold'],,Transparent,38.5 mm,20 mm,,9.8 mm,,,Sapphire,3 ATM,,"Silver, White",Roman numerals,"['Leather', 'Alligator']",['Brown'],['Buckle'],Manual winding,L121.1,72 hours,,,"['Outsize date', 'power-reserve indicator']","It is the classic in the lange collection. With its inimitable dial design and its outsize date, the lange 1 inspired the entire watch industry with fresh impetus. The model version in yellow gold features an ivory argente-coloured dial crafted from solid silver.",,b76fa1c9f7eccac7733f1cb43ca69e71
330.032 E,https://www.alange-soehne.com/us-en/timepieces/saxonia/saxonia-annual-calendar/saxonia-annual-calendar-in-18-carat-pink-gold-330-032,,A. Lange & Söhne,,Saxonia,Saxonia Annual Calendar,in 18-carat pink gold,,Dress,USD,,https://img.alange-soehne.com/product-slideshow-product-2/2fd13d48d8bb8c44442dd98ad61e2b24d3cf8683.jpg,Germany,Round,['Rose Gold'],,Transparent,38.5 mm,20 mm,,9.8 mm,,,Sapphire,3 ATM,,"Silver, White",,"['Leather', 'Alligator']",['Brown'],,Automatic,L085.1,46 hours,,,"['Outsize date', 'calendar function', 'moon-phase display', 'day-of-week display', 'zero reset']","The saxonia annual calendar combines the time indication and calendar functions on a harmoniously designed, easily legible dial. The model version in pink gold features an argente-coloured dial crafted from solid silver.",,b03261a946e42e1750075c17063ec778
